Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,0.05 sec  (20 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:33:12.780,10.969,0.00,0.01,-0.01,,
2018-08-09 17:33:12.828,11.017,0.00,0.01,-0.01,,
2018-08-09 17:33:12.876,11.065,0.00,0.01,-0.01,,
2018-08-09 17:33:12.924,11.113,0.00,0.01,-0.01,,
2018-08-09 17:33:12.988,11.177,0.00,0.01,-0.01,,
2018-08-09 17:33:13.036,11.225,0.00,0.01,-0.01,,
2018-08-09 17:33:13.084,11.273,0.00,0.01,-0.01,,
2018-08-09 17:33:13.132,11.321,0.00,0.01,-0.01,,
2018-08-09 17:33:13.180,11.369,0.00,0.01,-0.01,,
2018-08-09 17:33:13.228,11.417,0.00,0.01,-0.01,,
2018-08-09 17:33:13.276,11.465,0.00,0.01,-0.01,,
2018-08-09 17:33:13.324,11.513,0.00,0.01,-0.01,,
2018-08-09 17:33:13.388,11.577,0.00,0.01,-0.01,,
2018-08-09 17:33:13.436,11.625,0.00,0.01,-0.01,,
2018-08-09 17:33:13.484,11.673,0.00,0.01,-0.01,,
2018-08-09 17:33:13.532,11.721,0.00,0.01,-0.01,,
2018-08-09 17:33:13.580,11.769,0.00,0.01,-0.01,,
2018-08-09 17:33:13.628,11.817,0.00,0.01,-0.01,,
2018-08-09 17:33:13.676,11.865,0.00,0.01,-0.01,,
2018-08-09 17:33:13.724,11.913,0.00,0.01,-0.01,,
2018-08-09 17:33:13.788,11.977,0.00,0.01,-0.01,,
2018-08-09 17:33:13.836,12.025,0.00,0.01,-0.01,,
2018-08-09 17:33:13.884,12.073,0.00,0.01,-0.01,,
2018-08-09 17:33:13.932,12.121,0.00,0.01,-0.01,,
2018-08-09 17:33:13.980,12.169,0.00,0.01,-0.01,,
2018-08-09 17:33:14.028,12.217,0.00,0.01,-0.01,,
2018-08-09 17:33:14.076,12.265,0.00,0.01,-0.01,,
2018-08-09 17:33:14.124,12.313,0.00,0.01,-0.01,,
2018-08-09 17:33:14.188,12.377,0.00,0.01,-0.01,,
2018-08-09 17:33:14.236,12.425,0.00,0.01,-0.01,,
2018-08-09 17:33:14.284,12.473,0.00,0.01,-0.01,,
2018-08-09 17:33:14.332,12.521,0.00,0.01,-0.01,,
2018-08-09 17:33:14.380,12.569,0.00,0.01,-0.01,,
2018-08-09 17:33:14.428,12.617,0.00,0.01,-0.01,,
2018-08-09 17:33:14.476,12.665,0.00,0.01,-0.01,,
2018-08-09 17:33:14.523,12.712,0.00,0.01,-0.01,,
2018-08-09 17:33:14.587,12.776,0.00,0.01,-0.01,,
2018-08-09 17:33:14.635,12.824,0.00,0.01,-0.01,,
2018-08-09 17:33:14.683,12.872,0.00,0.01,-0.01,,
2018-08-09 17:33:14.731,12.920,0.00,0.01,-0.01,,
2018-08-09 17:33:14.780,12.969,0.00,0.01,-0.01,,
2018-08-09 17:33:14.828,13.017,0.00,0.01,-0.01,,
2018-08-09 17:33:14.875,13.064,0.00,0.01,-0.01,,
2018-08-09 17:33:14.923,13.112,0.00,0.01,-0.01,,
2018-08-09 17:33:14.987,13.176,0.00,0.01,-0.01,,
2018-08-09 17:33:15.035,13.224,0.00,0.01,-0.01,,
2018-08-09 17:33:15.083,13.272,0.00,0.01,-0.01,,
2018-08-09 17:33:15.131,13.320,0.00,0.01,-0.01,,
2018-08-09 17:33:15.179,13.368,0.00,0.01,-0.01,,
2018-08-09 17:33:15.227,13.416,0.00,0.01,-0.01,,
2018-08-09 17:33:15.275,13.464,0.00,0.01,-0.01,,
2018-08-09 17:33:15.323,13.512,0.00,0.01,-0.01,,
2018-08-09 17:33:15.387,13.576,0.00,0.01,-0.01,,
2018-08-09 17:33:15.435,13.624,0.00,0.01,-0.01,,
2018-08-09 17:33:15.483,13.672,0.00,0.01,-0.01,,
2018-08-09 17:33:15.531,13.720,0.00,0.01,-0.01,,
2018-08-09 17:33:15.579,13.768,0.00,0.01,-0.01,,
2018-08-09 17:33:15.627,13.816,0.00,0.01,-0.01,,
2018-08-09 17:33:15.675,13.864,0.00,0.01,-0.01,,
2018-08-09 17:33:15.723,13.912,0.00,0.01,-0.01,,
2018-08-09 17:33:15.787,13.976,0.00,0.01,-0.01,,
2018-08-09 17:33:15.835,14.024,0.00,0.01,-0.01,,
2018-08-09 17:33:15.883,14.072,0.00,0.01,-0.01,,
2018-08-09 17:33:15.931,14.120,0.00,0.01,-0.01,,
2018-08-09 17:33:15.979,14.168,0.00,0.01,-0.01,,
2018-08-09 17:33:16.027,14.216,0.00,0.01,-0.01,,
2018-08-09 17:33:16.075,14.264,0.00,0.01,-0.01,,
2018-08-09 17:33:16.123,14.312,0.00,0.01,-0.01,,
2018-08-09 17:33:16.187,14.376,0.00,0.01,-0.01,,
2018-08-09 17:33:16.235,14.424,0.00,0.01,-0.01,,
2018-08-09 17:33:16.283,14.472,0.00,0.01,-0.01,,
2018-08-09 17:33:16.331,14.520,0.00,0.01,-0.01,,
2018-08-09 17:33:16.379,14.568,0.00,0.01,-0.01,,
2018-08-09 17:33:16.427,14.616,0.00,0.01,-0.01,,
2018-08-09 17:33:16.475,14.664,0.00,0.01,-0.01,,
2018-08-09 17:33:16.523,14.712,0.00,0.01,-0.01,,
2018-08-09 17:33:16.587,14.776,0.00,0.01,-0.01,,
2018-08-09 17:33:16.635,14.824,0.00,0.01,-0.01,,
2018-08-09 17:33:16.683,14.872,0.00,0.01,-0.01,,
2018-08-09 17:33:16.731,14.920,0.00,0.01,-0.01,,
2018-08-09 17:33:16.779,14.968,0.00,0.01,-0.01,,
2018-08-09 17:33:16.827,15.016,0.00,0.01,-0.01,,
2018-08-09 17:33:16.874,15.063,0.00,0.01,-0.01,,
2018-08-09 17:33:16.923,15.112,0.00,0.01,-0.01,,
2018-08-09 17:33:16.987,15.176,0.00,0.01,-0.01,,
2018-08-09 17:33:17.034,15.223,0.00,0.01,-0.01,,
2018-08-09 17:33:17.083,15.272,0.00,0.01,-0.01,,
2018-08-09 17:33:17.131,15.320,0.00,0.01,-0.01,,
2018-08-09 17:33:17.179,15.368,0.00,0.01,-0.01,,
2018-08-09 17:33:17.226,15.415,0.00,0.01,-0.01,,
2018-08-09 17:33:17.274,15.463,0.00,0.01,-0.01,,
2018-08-09 17:33:17.323,15.512,0.00,0.01,-0.01,,
2018-08-09 17:33:17.386,15.575,0.00,0.01,-0.01,,
2018-08-09 17:33:17.434,15.623,0.00,0.01,-0.01,,
2018-08-09 17:33:17.482,15.671,0.00,0.01,-0.01,,
2018-08-09 17:33:17.530,15.719,0.00,0.01,-0.01,,
2018-08-09 17:33:17.578,15.767,0.00,0.01,-0.01,,
2018-08-09 17:33:17.626,15.815,0.00,0.01,-0.01,,
2018-08-09 17:33:17.674,15.863,0.00,0.01,-0.01,,
2018-08-09 17:33:17.722,15.911,0.00,0.01,-0.01,,
2018-08-09 17:33:17.786,15.975,0.00,0.01,-0.01,,
2018-08-09 17:33:17.834,16.023,0.00,0.01,-0.01,,
2018-08-09 17:33:17.882,16.071,0.00,0.01,-0.01,,
2018-08-09 17:33:17.930,16.119,0.00,0.01,-0.01,,
2018-08-09 17:33:17.978,16.167,0.00,0.01,-0.01,,
2018-08-09 17:33:18.026,16.215,0.00,0.01,-0.01,,
2018-08-09 17:33:18.074,16.263,0.00,0.01,-0.01,,
2018-08-09 17:33:18.122,16.311,0.00,0.01,-0.01,,
2018-08-09 17:33:18.186,16.375,0.00,0.01,-0.01,,
2018-08-09 17:33:18.234,16.423,0.00,0.01,-0.01,,
2018-08-09 17:33:18.282,16.471,0.00,0.01,-0.01,,
2018-08-09 17:33:18.330,16.519,0.00,0.01,-0.01,,
2018-08-09 17:33:18.378,16.567,0.00,0.01,-0.01,,
2018-08-09 17:33:18.426,16.615,0.00,0.01,-0.01,,
2018-08-09 17:33:18.474,16.663,0.00,0.01,-0.01,,
2018-08-09 17:33:18.522,16.711,0.00,0.01,-0.01,,
2018-08-09 17:33:18.586,16.775,0.00,0.01,-0.01,,
2018-08-09 17:33:18.634,16.823,0.00,0.01,-0.01,,
2018-08-09 17:33:18.682,16.871,0.00,0.01,-0.01,,
2018-08-09 17:33:18.730,16.919,0.00,0.01,-0.01,,
2018-08-09 17:33:18.778,16.967,0.00,0.01,-0.01,,
2018-08-09 17:33:18.826,17.015,0.00,0.01,-0.01,,
2018-08-09 17:33:18.874,17.063,0.00,0.01,-0.01,,
2018-08-09 17:33:18.922,17.111,0.00,0.01,-0.01,,
2018-08-09 17:33:18.986,17.175,0.00,0.01,-0.01,,
2018-08-09 17:33:19.034,17.223,0.00,0.01,-0.01,,
2018-08-09 17:33:19.082,17.271,0.00,0.01,-0.01,,
2018-08-09 17:33:19.130,17.319,0.00,0.01,-0.01,,
2018-08-09 17:33:19.178,17.367,0.00,0.01,-0.01,,
2018-08-09 17:33:19.226,17.415,0.00,0.01,-0.01,,
2018-08-09 17:33:19.274,17.463,0.00,0.01,-0.01,,
2018-08-09 17:33:19.322,17.511,0.00,0.01,-0.01,,
2018-08-09 17:33:19.386,17.575,0.00,0.01,-0.01,,
2018-08-09 17:33:19.434,17.623,0.00,0.01,-0.01,,
2018-08-09 17:33:19.482,17.671,0.00,0.01,-0.01,,
2018-08-09 17:33:19.530,17.719,0.00,0.01,-0.01,,
2018-08-09 17:33:19.578,17.767,0.00,0.01,-0.01,,
2018-08-09 17:33:19.626,17.815,0.00,0.01,-0.01,,
2018-08-09 17:33:19.674,17.863,0.00,0.01,-0.01,,
2018-08-09 17:33:19.722,17.911,0.00,0.01,-0.01,,
2018-08-09 17:33:19.786,17.975,0.00,0.01,-0.01,,
2018-08-09 17:33:19.834,18.023,0.00,0.01,-0.01,,
2018-08-09 17:33:19.882,18.071,0.00,0.01,-0.01,,
2018-08-09 17:33:19.930,18.119,0.00,0.01,-0.01,,
2018-08-09 17:33:19.978,18.167,0.00,0.01,-0.01,,
2018-08-09 17:33:20.026,18.215,0.00,0.01,-0.01,,
2018-08-09 17:33:20.074,18.263,0.00,0.01,-0.01,,
2018-08-09 17:33:20.122,18.311,0.00,0.01,-0.01,,
2018-08-09 17:33:20.186,18.375,0.00,0.01,-0.01,,
2018-08-09 17:33:20.234,18.423,0.00,0.01,-0.01,,
2018-08-09 17:33:20.282,18.471,0.00,0.01,-0.01,,
2018-08-09 17:33:20.330,18.519,0.00,0.01,-0.01,,
2018-08-09 17:33:20.378,18.567,0.00,0.01,-0.01,,
2018-08-09 17:33:20.426,18.615,0.00,0.01,-0.01,,
2018-08-09 17:33:20.474,18.663,0.00,0.01,-0.01,,
2018-08-09 17:33:20.522,18.711,0.00,0.01,-0.01,,
2018-08-09 17:33:20.586,18.775,0.00,0.01,-0.01,,
2018-08-09 17:33:20.634,18.823,0.00,0.01,-0.01,,
2018-08-09 17:33:20.681,18.870,0.00,0.01,-0.01,,
2018-08-09 17:33:20.729,18.918,0.00,0.01,-0.01,,
2018-08-09 17:33:20.777,18.966,0.00,0.01,-0.01,,
2018-08-09 17:33:20.825,19.014,0.00,0.01,-0.01,,
2018-08-09 17:33:20.873,19.062,0.00,0.01,-0.01,,
2018-08-09 17:33:20.937,19.126,0.00,0.01,-0.01,,
2018-08-09 17:33:20.985,19.174,0.00,0.01,-0.01,,
2018-08-09 17:33:21.033,19.222,0.00,0.01,-0.01,,
2018-08-09 17:33:21.081,19.270,0.00,0.01,-0.01,,
2018-08-09 17:33:21.129,19.318,0.00,0.01,-0.01,,
2018-08-09 17:33:21.177,19.366,0.00,0.01,-0.01,,
2018-08-09 17:33:21.225,19.414,0.00,0.01,-0.01,,
2018-08-09 17:33:21.273,19.462,0.00,0.01,-0.01,,
2018-08-09 17:33:21.337,19.526,0.00,0.01,-0.01,,
