Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:16:27.120,29.243,0.00,0.00,0.00,,
2018-08-09 17:16:27.136,29.259,0.00,0.00,0.00,,
2018-08-09 17:16:27.168,29.291,0.00,0.00,0.00,,
2018-08-09 17:16:27.184,29.307,0.00,0.00,0.00,,
2018-08-09 17:16:27.200,29.323,0.00,0.00,0.00,,
2018-08-09 17:16:27.216,29.339,0.00,0.00,0.00,,
2018-08-09 17:16:27.248,29.371,0.00,0.00,0.00,,
2018-08-09 17:16:27.264,29.387,0.00,0.00,0.00,,
2018-08-09 17:16:27.280,29.403,0.00,0.00,0.00,,
2018-08-09 17:16:27.296,29.419,0.00,0.00,0.00,,
2018-08-09 17:16:27.328,29.451,0.00,0.00,0.00,,
2018-08-09 17:16:27.344,29.467,0.00,0.00,0.00,,
2018-08-09 17:16:27.360,29.483,0.00,0.00,0.00,,
2018-08-09 17:16:27.376,29.499,0.00,0.00,0.00,,
2018-08-09 17:16:27.408,29.531,0.00,0.00,0.00,,
2018-08-09 17:16:27.423,29.546,0.00,0.00,0.00,,
2018-08-09 17:16:27.440,29.563,0.00,0.00,0.00,,
2018-08-09 17:16:27.455,29.578,0.00,0.00,0.00,,
2018-08-09 17:16:27.488,29.611,0.00,0.00,0.00,,
2018-08-09 17:16:27.503,29.626,0.00,0.00,0.00,,
2018-08-09 17:16:27.520,29.643,0.00,0.00,0.00,,
2018-08-09 17:16:27.535,29.658,0.00,0.00,0.00,,
2018-08-09 17:16:27.567,29.690,0.00,0.00,0.00,,
2018-08-09 17:16:27.583,29.706,0.00,0.00,0.00,,
2018-08-09 17:16:27.600,29.723,0.00,0.00,0.00,,
2018-08-09 17:16:27.615,29.738,0.00,0.00,0.00,,
2018-08-09 17:16:27.648,29.771,0.00,0.00,0.00,,
2018-08-09 17:16:27.663,29.786,0.00,0.00,0.00,,
2018-08-09 17:16:27.680,29.803,0.00,0.00,0.00,,
2018-08-09 17:16:27.695,29.818,0.00,0.00,0.00,,
2018-08-09 17:16:27.727,29.850,0.00,0.00,0.00,,
2018-08-09 17:16:27.743,29.866,0.00,0.00,0.00,,
2018-08-09 17:16:27.760,29.883,0.00,0.00,0.00,,
2018-08-09 17:16:27.775,29.898,0.00,0.00,0.00,,
2018-08-09 17:16:27.807,29.930,0.00,0.00,0.00,,
2018-08-09 17:16:27.823,29.946,0.00,0.00,0.00,,
2018-08-09 17:16:27.839,29.962,0.00,0.00,0.00,,
2018-08-09 17:16:27.855,29.978,0.00,0.00,0.00,,
2018-08-09 17:16:27.887,30.010,0.00,0.00,0.00,,
2018-08-09 17:16:27.903,30.026,0.00,0.00,0.00,,
2018-08-09 17:16:27.919,30.042,0.00,0.00,0.00,,
2018-08-09 17:16:27.935,30.058,0.00,0.00,0.00,,
2018-08-09 17:16:27.967,30.090,0.00,0.00,0.00,,
2018-08-09 17:16:27.983,30.106,0.00,0.00,0.00,,
2018-08-09 17:16:27.999,30.122,0.00,0.00,0.00,,
2018-08-09 17:16:28.015,30.138,0.00,0.00,0.00,,
2018-08-09 17:16:28.047,30.170,0.00,0.00,0.00,,
2018-08-09 17:16:28.063,30.186,0.00,0.00,0.00,,
2018-08-09 17:16:28.079,30.202,0.00,0.00,0.00,,
2018-08-09 17:16:28.095,30.218,0.00,0.00,0.00,,
2018-08-09 17:16:28.127,30.250,0.00,0.00,0.00,,
2018-08-09 17:16:28.143,30.266,0.00,0.00,0.00,,
2018-08-09 17:16:28.159,30.282,0.00,0.00,0.00,,
2018-08-09 17:16:28.175,30.298,0.00,0.00,0.00,,
2018-08-09 17:16:28.207,30.330,0.00,0.00,0.00,,
2018-08-09 17:16:28.223,30.346,0.00,0.00,0.00,,
2018-08-09 17:16:28.239,30.362,0.00,0.00,0.00,,
2018-08-09 17:16:28.255,30.378,0.00,0.00,0.00,,
2018-08-09 17:16:28.287,30.410,0.00,0.00,0.00,,
2018-08-09 17:16:28.303,30.426,0.00,0.00,0.00,,
2018-08-09 17:16:28.319,30.442,0.00,0.00,0.00,,
2018-08-09 17:16:28.335,30.458,0.00,0.00,0.00,,
2018-08-09 17:16:28.367,30.490,0.00,0.00,0.00,,
2018-08-09 17:16:28.383,30.506,0.00,0.00,0.00,,
2018-08-09 17:16:28.399,30.522,0.00,0.00,0.00,,
2018-08-09 17:16:28.415,30.538,0.00,0.00,0.00,,
2018-08-09 17:16:28.447,30.570,0.00,0.00,0.00,,
2018-08-09 17:16:28.463,30.586,0.00,0.00,0.00,,
2018-08-09 17:16:28.479,30.602,0.00,0.00,0.00,,
2018-08-09 17:16:28.495,30.618,0.00,0.00,0.00,,
2018-08-09 17:16:28.527,30.650,0.00,0.00,0.00,,
2018-08-09 17:16:28.543,30.666,0.00,0.00,0.00,,
2018-08-09 17:16:28.559,30.682,0.00,0.00,0.00,,
2018-08-09 17:16:28.575,30.698,0.00,0.00,0.00,,
2018-08-09 17:16:28.607,30.730,0.00,0.00,0.00,,
2018-08-09 17:16:28.623,30.746,0.00,0.00,0.00,,
2018-08-09 17:16:28.639,30.762,0.00,0.00,0.00,,
2018-08-09 17:16:28.655,30.778,0.00,0.00,0.00,,
2018-08-09 17:16:28.687,30.810,0.00,0.00,0.00,,
2018-08-09 17:16:28.703,30.826,0.00,0.00,0.00,,
2018-08-09 17:16:28.719,30.842,0.00,0.00,0.00,,
2018-08-09 17:16:28.735,30.858,0.00,0.00,0.00,,
2018-08-09 17:16:28.767,30.890,0.00,0.00,0.00,,
2018-08-09 17:16:28.783,30.906,0.00,0.00,0.00,,
2018-08-09 17:16:28.799,30.922,0.00,0.00,0.00,,
2018-08-09 17:16:28.815,30.938,0.00,0.00,0.00,,
2018-08-09 17:16:28.847,30.970,0.00,0.00,0.00,,
2018-08-09 17:16:28.863,30.986,0.00,0.00,0.00,,
2018-08-09 17:16:28.879,31.002,0.00,0.00,0.00,,
2018-08-09 17:16:28.895,31.018,0.00,0.00,0.00,,
2018-08-09 17:16:28.927,31.050,0.00,0.00,0.00,,
2018-08-09 17:16:28.943,31.066,0.00,0.00,0.00,,
2018-08-09 17:16:28.959,31.082,0.00,0.00,0.00,,
2018-08-09 17:16:28.975,31.098,0.00,0.00,0.00,,
2018-08-09 17:16:29.007,31.130,0.00,0.00,0.00,,
2018-08-09 17:16:29.023,31.146,0.00,0.00,0.00,,
2018-08-09 17:16:29.039,31.162,0.00,0.00,0.00,,
2018-08-09 17:16:29.055,31.178,0.00,0.00,0.00,,
